index,bitstring,energy,prob
504,110010001011011101,133.25,0.0009765625
505,000100011001011011,133.25,0.0009765625
506,000100110110110000,143.25,0.0009765625
507,110000010101110000,143.25,0.0009765625
508,110001111101110000,143.25,0.0009765625
509,101111100100101000,143.25,0.0009765625
510,101100001100101000,143.25,0.0009765625
511,011011111101101000,143.25,0.0009765625
512,101001111000111000,143.25,0.0009765625
513,101100101000100100,143.25,0.0009765625
514,100101010101100100,143.25,0.0009765625
515,001100011111100100,143.25,0.0009765625
516,011110110101110100,143.25,0.0009765625
517,110100111101110100,143.25,0.0009765625
518,000011011111110100,143.25,0.0009765625
519,011101111110101100,143.25,0.0009765625
520,000000100001101100,143.25,0.0009765625
521,110111000111101100,143.25,0.0009765625
522,101111100001111100,143.25,0.0009765625
523,101110111001100010,143.25,0.0009765625
524,111111011010101010,143.25,0.0009765625
525,100100111100111010,143.25,0.0009765625
526,100111111010111010,143.25,0.0009765625
527,100010010011100110,143.25,0.0009765625
528,111001101010101110,143.25,0.0009765625
529,111011011010101110,143.25,0.0009765625
530,101011011010111110,143.25,0.0009765625
531,111101010110100001,143.25,0.0009765625
532,101011010101100001,143.25,0.0009765625
533,111010101001110001,143.25,0.0009765625
534,000111110101110001,143.25,0.0009765625
535,111000110111110001,143.25,0.0009765625
536,111001100011100101,143.25,0.0009765625
537,000010101111110101,143.25,0.0009765625
538,011011000001111101,143.25,0.0009765625
539,001111011100100011,143.25,0.0009765625
540,010011110110100011,143.25,0.0009765625
541,111010101001100011,143.25,0.0009765625
542,010001100101100011,143.25,0.0009765625
543,010100101111110011,143.25,0.0009765625
544,110010110101111011,143.25,0.0009765625
545,111001000110110111,143.25,0.0009765625
546,111100110001111111,143.25,0.0009765625
547,100110100010000000,143.5,0.0009765625
548,111011100010000000,143.5,0.0009765625
549,101000101000010000,143.5,0.0009765625
550,011111100011001000,143.5,0.0009765625
551,010110101111001000,143.5,0.0009765625
552,001110101010011000,143.5,0.0009765625
553,001111101011011000,143.5,0.0009765625
554,111101100000000100,143.5,0.0009765625
555,111101000010011100,143.5,0.0009765625
556,101101000100010010,143.5,0.0009765625
557,001101100111010010,143.5,0.0009765625
558,110100011100011010,143.5,0.0009765625
559,100001111100010110,143.5,0.0009765625
560,100001111100001110,143.5,0.0009765625
561,110100101110001110,143.5,0.0009765625
562,010100000001010001,143.5,0.0009765625
563,010100000011010001,143.5,0.0009765625
564,001001000000001001,143.5,0.0009765625
565,101001010110001001,143.5,0.0009765625
566,110110011001000101,143.5,0.0009765625
567,000110110000010011,143.5,0.0009765625
568,011000000111001011,143.5,0.0009765625
569,111100011111101000,153.5,0.0009765625
570,001110110011111000,153.5,0.0009765625
571,000010010110100100,153.5,0.0009765625
572,011110011010111100,153.5,0.0009765625
573,100111111101110010,153.5,0.0009765625
574,100110110100101010,153.5,0.0009765625
575,111111000110111010,153.5,0.0009765625
576,111100011110111010,153.5,0.0009765625
577,001010110101111010,153.5,0.0009765625
578,110101110011111010,153.5,0.0009765625
579,000010101110110110,153.5,0.0009765625
580,101010000000101110,153.5,0.0009765625
581,100001111011101110,153.5,0.0009765625
582,000110111011111110,153.5,0.0009765625
583,000101111101100001,153.5,0.0009765625
584,100010100010110001,153.5,0.0009765625
585,010101001011110001,153.5,0.0009765625
586,010111001011110001,153.5,0.0009765625
