index,bitstring,probability
344,000111000000100101,0.0009765625
345,000111010100100101,0.0009765625
346,010000101011100101,0.0009765625
347,000110001111100101,0.0009765625
348,000000011011110101,0.0009765625
349,001001111000101101,0.0009765625
350,010100100110101101,0.0009765625
351,011100101101101101,0.0009765625
352,010011000000111101,0.0009765625
353,100100010111100011,0.0009765625
354,000011110010110011,0.0009765625
355,100001100110110011,0.0009765625
356,001001010001101011,0.0009765625
357,101100101001111011,0.0009765625
358,000001011110100111,0.0009765625
359,110010110000110111,0.0009765625
360,011010001100110111,0.0009765625
361,000100001101101111,0.0009765625
362,011011000000000000,0.0009765625
363,011000001010000000,0.0009765625
364,111010000110000000,0.0009765625
365,010001001011000000,0.0009765625
366,000111110001011000,0.0009765625
367,100011110110000100,0.0009765625
368,001001000001000100,0.0009765625
369,000101101000010100,0.0009765625
370,111000010001010100,0.0009765625
371,110100011100011100,0.0009765625
372,101000100000000010,0.0009765625
373,100001001010000010,0.0009765625
374,100010001110000010,0.0009765625
375,111000010000010010,0.0009765625
376,011000111001000110,0.0009765625
377,101001000100010110,0.0009765625
378,000001100010001110,0.0009765625
379,011000110011011110,0.0009765625
380,000000101110010001,0.0009765625
381,001010011001010001,0.0009765625
382,011010000100010101,0.0009765625
383,101100001000001101,0.0009765625
384,100000101100010111,0.0009765625
385,000100000000100000,0.0009765625
386,000100100000100000,0.0009765625
387,010010001000100000,0.0009765625
388,111101101010110000,0.0009765625
389,011101111001110000,0.0009765625
390,110000010000111000,0.0009765625
391,000001100011100100,0.0009765625
392,111100101011100100,0.0009765625
393,010000001110110100,0.0009765625
394,101100010001110100,0.0009765625
395,110001010011110100,0.0009765625
396,001000010111100010,0.0009765625
397,001110001010110010,0.0009765625
398,011001001001110010,0.0009765625
399,011011001101110010,0.0009765625
400,011111000001111010,0.0009765625
401,110010100011100110,0.0009765625
402,111110011000110110,0.0009765625
403,010101100110110110,0.0009765625
404,000101001111100001,0.0009765625
405,111100111000110001,0.0009765625
406,100011100111110001,0.0009765625
407,011100110110101001,0.0009765625
408,100101000001111001,0.0009765625
409,000001001001100101,0.0009765625
410,101001000011100101,0.0009765625
411,000001011011100101,0.0009765625
412,101100000101101101,0.0009765625
413,010100011001111101,0.0009765625
414,011010110000110011,0.0009765625
415,011100100010111011,0.0009765625
416,001110000111100111,0.0009765625
417,000011000101110111,0.0009765625
418,010100010000101111,0.0009765625
419,010001001111010000,0.0009765625
420,011010001011001000,0.0009765625
421,010001001010000100,0.0009765625
422,010001000111000100,0.0009765625
423,001001000101001100,0.0009765625
424,101001000000001010,0.0009765625
425,001001001100001010,0.0009765625
426,110001000110010110,0.0009765625
427,011000010001010110,0.0009765625
428,010000110000010001,0.0019531250000000004
429,010010110000010001,0.0009765625
430,101000110010011001,0.0009765625
431,100010010101011001,0.0009765625
432,000110011001000011,0.0009765625
433,100010000000010011,0.0009765625
434,000000101000010011,0.0009765625
435,000010000010001011,0.0009765625
436,100000100110000111,0.0009765625
437,100100001001010111,0.0009765625
438,001011001011100000,0.0009765625
439,111000000000110000,0.0009765625
440,100111101010110000,0.0009765625
441,000100100000101000,0.0009765625
442,001100010100101000,0.0009765625
443,101001110100111000,0.0009765625
444,111010000100100100,0.0009765625
445,110001010001111100,0.0009765625
446,110010110010100010,0.0009765625
447,110010010111100010,0.0009765625
448,100010000000110010,0.0009765625
449,010101000000110010,0.0009765625
450,111100111100110010,0.0009765625
451,111101100100101010,0.0009765625
452,100010010100101010,0.0009765625
453,111000010110111010,0.0009765625
454,010111100101100110,0.0009765625
455,000101110001110110,0.0009765625
456,100010100000100001,0.0009765625
457,011001001000101001,0.0009765625
458,011001100001100101,0.0009765625
459,010100111010110101,0.0009765625
460,011110010001110101,0.0009765625
461,100000110011110101,0.0009765625
462,101011000000101101,0.0009765625
463,110011001100100011,0.0009765625
464,010001100110100011,0.0009765625
465,110001100110100011,0.0009765625
466,111100010010110011,0.0009765625
467,110110000000101011,0.0009765625
468,010110001100101011,0.0009765625
469,010011100100111011,0.0009765625
470,100011110000100111,0.0009765625
471,000011000101100111,0.0009765625
472,110100011001111111,0.0009765625
473,010111100000010000,0.0009765625
474,110110100010001000,0.0009765625
475,011010010001010100,0.0009765625
476,000001011101000010,0.0009765625
477,000111010010001010,0.0009765625
478,100010100010011010,0.0009765625
479,001110010111000110,0.0009765625
480,000110011110000001,0.0009765625
481,000001000100010001,0.0009765625
482,000001001110010001,0.0009765625
483,000100101100011001,0.0009765625
484,000011110100000101,0.0009765625
485,111010000100010101,0.0009765625
486,000000100010000011,0.0009765625
487,101000010111000011,0.0009765625
488,001110000001010011,0.0009765625
489,010000101100000111,0.0009765625
490,000100110101100000,0.0009765625
491,101011011010101000,0.0009765625
492,011000010010111000,0.0009765625
493,100111100110111000,0.0009765625
494,110011010001110100,0.0009765625
495,100101110001110100,0.0009765625
496,010100010001111100,0.0009765625
497,101000001100100010,0.0009765625
498,100111100010101010,0.0009765625
499,111100110100111010,0.0009765625
500,010110010010111010,0.0009765625
501,101000010110111010,0.0009765625
502,001000101101110110,0.0009765625
503,111011000010100001,0.0009765625
504,110001011101100001,0.0009765625
505,010110010010110001,0.0009765625
506,101001000001100101,0.0009765625
507,101110001100101101,0.0009765625
508,101001000001100011,0.0009765625
509,001111000000110011,0.0009765625
510,000101011000110011,0.0009765625
511,101110010100110011,0.0009765625
512,010001100000101011,0.0009765625
513,001111110000101011,0.0019531250000000004
514,110011100001101011,0.0009765625
515,101100010101101011,0.0009765625
516,001011001010111011,0.0009765625
517,010001000110100111,0.0009765625
518,111101000000000000,0.0009765625
519,100110001110001000,0.0009765625
520,010110111100011000,0.0009765625
521,000101001101000100,0.0009765625
522,010000111110011100,0.0009765625
523,000111001101011100,0.0009765625
524,010011001000000010,0.0009765625
525,010011001001000010,0.0009765625
526,100001100101001010,0.0009765625
527,000101001001011010,0.0009765625
528,101100101011011010,0.0009765625
529,010110010110000110,0.0009765625
530,100001001001000110,0.0009765625
531,001010001111000110,0.0009765625
532,011100000010000001,0.0009765625
533,100100001110001001,0.0009765625
534,000011101000011001,0.0009765625
535,000001100010011001,0.0009765625
536,000001000001011001,0.0009765625
537,001001010011011001,0.0009765625
538,000001001011011001,0.0009765625
539,110000001000000011,0.0009765625
540,100100001010010111,0.0009765625
541,000100111000001111,0.0009765625
542,100000011000100000,0.0009765625
543,101011001001100000,0.0009765625
544,100011110111100000,0.0009765625
545,100110000010110000,0.0009765625
546,101101101010101000,0.0009765625
547,011110101010110100,0.0009765625
548,111001111010100010,0.0009765625
549,010110000111111110,0.0009765625
550,111101000000100001,0.0009765625
551,101010001101100001,0.0009765625
552,000101101011101001,0.0009765625
553,011100010100111001,0.0009765625
554,110101001000101101,0.0009765625
555,110110101010101101,0.0009765625
556,100010100011101101,0.0009765625
557,111000010101111101,0.0009765625
558,001111000100100011,0.0009765625
